id;street_address;postal_code;city;state_province
1;monumental drive;excluding monumental gee;Ernashire;futon until stale
2;hyena throughout;woot;Fort Alanistown;breathe hmph phooey
3;rarely;querulous doubtfully luminous;Mayaguez;regularly beset hmph
4;fooey;rack instead kiosk;Utica;rue small prisoner
5;provided letter;meh;Fort Johnnie;than
6;duh than;onto;West Trinity;even scimitar
7;kindhearted;hopelessly;North Velma;while incidentally monstrous
8;download;athwart;Turlock;admired over
9;unusual;as;West Kristina;blah ha briskly
10;from leaf snappy;aside when steel;Lake Haileyberg;platelet
