id;start_date;end_date;language
1;2024-01-22T16:40:02;2024-01-22T10:16:26;ENGLISH
2;2024-01-22T08:18:41;2024-01-21T20:05:03;FRENCH
3;2024-01-21T21:47:02;2024-01-22T01:37:53;SPANISH
4;2024-01-22T03:49:54;2024-01-22T02:09:59;SPANISH
5;2024-01-22T10:38:01;2024-01-22T10:44:31;ENGLISH
6;2024-01-22T00:17:56;2024-01-22T04:11:05;ENGLISH
7;2024-01-22T11:50:50;2024-01-21T17:19:54;FRENCH
8;2024-01-22T14:46:45;2024-01-22T02:40:32;ENGLISH
9;2024-01-21T22:04:35;2024-01-22T04:31:01;FRENCH
10;2024-01-21T18:35:38;2024-01-22T09:29:26;FRENCH
